Company,Faculty,Major,Major Code,Company Address,Latitude,Longitude,Count
2Y Communications Engineering,FET,Mechanical,KB04,"No 66/15, Tingkat Bawah, Taman Sri Intan, Kuala Kuala Terengganu, Terengganu, Jalan Sultan Omar, , Kuala Terengganu , 20300 Terengganu, Malaysia",5.3213925,103.1420157,1
ABB Malaysia Sdn. Bhd.,FET,Electronics Majoring in Nanotechnology,KB07,"Lot 608, Jalan Lagoon Selatan, Bandar Sunway 47500 Subang Jaya, Selangor Darul Ehsan, Malaysia",3.0653306,101.5948522,1
AFA Technologies Sdn. Bhd.,FET,Electronics majoring in Robotics & Automation,KB05,"No 1, 3, 5, Jalan TTC 7, Taman Teknologi Cheng, 75250 Melaka, Malaysia",2.2527932,102.2318813,2
AFA Technologies Sdn. Bhd.,FET,Mechanical,KB04,"No 1, 3, 5, Jalan TTC 7, Taman Teknologi Cheng, 75250 Melaka, Malaysia",2.2527932,102.2318813,4
AWETEX ENGINEERING & TRADING SDN BHD,FET,Electronics majoring in Robotics & Automation,KB05,"No 84 & 85, Jalan Cermai 4, Taman Mesra, 81400 Saleng, Senai, Johor, 81400 Johor, Malaysia",1.6338154,103.6286283,1
Advan Drive Technology Sdn. Bhd.,FET,Electronics majoring in Robotics & Automation,KB05,"17-1, Jalan A, Taman Batu, 52000 Kuala Lumpur, Malaysia",3.1999497,101.6662365,1
Advenxus Solutions Sdn. Bhd.,FET,Mechanical,KB04,"No. 80-1, Jalan Puteri 5/5, Bandar Puteri Puchong, 47100 Puchong, Selangor Darul Ehsan, , 47100 Selangor, Malaysia",3.0160983,101.6169279,1
Afrima Consulting Engineer Sdn. Bhd.,FET,Electronics majoring in Robotics & Automation,KB05,"51, JLN BP 7/2, Bandar Bukit, 47100 Puchong, Selangor.",2.9847073,101.6210232,1
Aiszzy Electronics Enterprise,FET,Mechanical,KB04,"NO.13A JALAN KRISTAL L7/L SEKSYEN 7, SHAH ALAM, 40000 SELANGOR DARUL EHSAN, MALAYSIA",3.0755802,101.4855382,1
Alnajjah Enterprise,FET,Mechanical,KB04,"NO. JB4886, Jalan Bazar, Taman Rambai Perdana, 77400, Malacca",2.1235314,102.4952035,1
Alphabot Machinery Sdn. Bhd.,FET,Mechanical,KB04,"Lot 1145, Jalan Bakariah, 84000 Muar, Johor, Malaysia, 84000 Johor, Malaysia",2.0684216,102.5732498,1
Alphaswift Industries Sdn. Bhd.,FET,Mechanical,KB04,"07-2A, Kenwingston Business Centre, Persiaran Bestari Cyber 9, 63000 Cyberjaya, Selangor, Malaysia, , 63000 Selangor, Malaysia",2.9105273,101.6396909,1
Ansell Malaysia Sdn. Bhd.,FET,Mechanical,KB04,"Lot 80, Ayer Keroh Ind. Estate, 75450 Melaka, Malaysia",2.269908,102.2944891,1
Artans Construction Sdn. Bhd.,FET,Mechanical,KB04,"Lot 55X, Jalan Bukit Lintang, Sungai Rengit, 81620 Pengerang, Johor, 81620 Johor, Malaysia",1.352933,104.226196,1
Avenues Globaline Sdn. Bhd.,FET,Mechanical,KB04,"ibis Styles Hotel Petaling Jaya Commercial Center PJCC, No. 36-1, Jalan PJS 5/28, 46150, Petaling Jaya, Selangor, 46150 Petaling Jaya",3.078567,101.6240035,1
B. Braun Medical Industries Sdn. Bhd.,FET,Electronics majoring in Robotics & Automation,KB05,"Bayan Lepas Free Industrial Zone,Bayan Lepas, 11900 Pulau Pinang, Malaysia",5.308987,100.2832409,1
BASF PETRONAS Chemicals Sdn. Bhd.,FET,Mechanical,KB04,"Jalan Gebeng 2/1, Kawasan Perindustrian Gebeng, 26080, Kuantan Pahang, Malaysia",4.01515,103.40435,1
BI Technologies Corporation Sdn. Bhd.,FET,Mechanical,KB04,"A-1445 Jalan Tanjung Api, Kuantan, 25050 Pahang, Malaysia",3.8121122,103.3379729,1
BOLT INDUSTRIES SDN. BHD.,FET,Electronics Majoring in Nanotechnology,KB07,"No. 27-2, Jalan Taman Desa, Kelang Lama 58100 Kuala Lumpur, Malaysia, Jalan Kelang Lama, 58100 Kuala Lumpur., new addr: No. 15 Persiaran Damansara Endah, Bukit Damansara 50490, Kuala Lumpur, Malaysia, 58100 Kuala Lumpur, Malaysia",3.1492646,101.664992,1
BOOSTORDER SDN. BHD.,FET,Electronics Majoring in Nanotechnology,KB07,"BO1-D-9-1 (Pillar 11), Menara 2, 3, Jalan Bangsar, Kampung Haji Abdullah Hukum, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1173508,101.6732033,1
BPE Synergy Engineering Sdn. Bhd.,FET,Electronics majoring in Robotics & Automation,KB05,"8, Jalan TBC 9,Taman Bukit Cheng, 75260 Melaka, Malaysia",2.265856,102.2228341,1
BPE Synergy Engineering Sdn. Bhd.,FET,Mechanical,KB04,"8, Jalan TBC 9,Taman Bukit Cheng, 75260 Melaka, Malaysia",2.265856,102.2228341,3
Beckhoff Automation Sdn. Bhd.,FET,Electronics majoring in Robotics & Automation,KB05,"Lot 7, Lorong Teknologi A, jalan Teknologi,Taman Perindustrian Sains Selangor, Kota Damansara 47810 Petaling Jaya, Selangor Malaysia",3.1500461,101.5714585,1
Bend Weld Engineering Sdn. Bhd.,FET,Mechanical,KB04,"Lot 3611 Batu 30 81500, Jalan Johor, Pekan Nanas, 82000 Johor, Malaysia",1.4810615,103.3989336,1
COMDELTA TECHNOLOGIES SDN BHD,FET,Mechanical,KB04,"No. 1, Jalan PP 16/4, Perdana Industrial Park, 47130 Puchong, Selangor., 47130 Selangor, Malaysia",2.9440783,101.6024645,1
CSC Steel Holdings Berhad,FET,Electronics majoring in Robotics & Automation,KB05,"180, Kawasan Industri Ayer Keroh, Ayer Keroh, 75450 Melaka, Malaysia",2.269908,102.2944891,1
CSC Steel Holdings Berhad,FET,Mechanical,KB04,"180, Kawasan Industri Ayer Keroh, Ayer Keroh, 75450 Melaka, Malaysia",2.269908,102.2944891,2
Cape EMS Manufacturing (M) Sdn. Bhd.,FET,Electronics majoring in Robotics & Automation,KB05,"PLO 226D & 227A, Jalan Cyber IA, Kawasan Perindustrian Senai 3 81400 Senai, Johor, Malaysia, , 81400 Johor, Malaysia",1.6270266,103.6537737,1
Centrionics Systems and Services Sdn. Bhd.,FET,Electronics majoring in Robotics & Automation,KB05,"No 23, Jalan Sungai Jerluh 32/196, Bukit Kemuning, Seksyen 32, 40460 Shah Alam, Selangor Darul Ehsan. Malaysia",2.9999502,101.5166585,2
Chuan Sin Sdn. Bhd. (Spritzer),FET,Electronics majoring in Robotics & Automation,KB05,"Lot 898, Jalan Reservoir, Off Jalan Air Kuning,Taiping, 34000 Perak, Malaysia",4.8158336,100.7397341,1
Chumbaka,FET,Electronics Majoring in Optical,KB06,"Digital Maker Hub level 2 Cyberview Sdn Bhd Block 3750, Persiaran Apec, Cyber 8, 63000 Cyberjaya, Selangor, 63000 Selangor, Malaysia",2.9083531,101.6558001,1
Cohu Malaysia Sdn Bhd,FET,Electronics majoring in Robotics & Automation,KB05,"No.5203-1, Jalan PAK 2/3, Kawasan Perindustrian Ayer Keroh Fasa 4, 75450 Melaka, Malaysia",2.2647593,102.287809,1
Cohu Malaysia Sdn Bhd,FET,Mechanical,KB04,"No.5203-1, Jalan PAK 2/3, Kawasan Perindustrian Ayer Keroh Fasa 4, 75450 Melaka, Malaysia",2.2647593,102.287809,1
Commaxion Sdn Bhd,FET,Electronics Majoring in Nanotechnology,KB07,"LOT 1-7, Innovation House, Level 1, Technology Park Malaysia, Bukit Jalil 57000 Kuala Lumpur, Malaysia",3.047042,101.6869835,1
Continental Tyre PJ Malaysia Sdn. Bhd.,FET,Mechanical,KB04,"2, Jln Tandang, Seksyen 51, 46050 Petaling Jaya, Selangor",3.0882541,101.639435,1
